globalSpinIndex,baseSpinIndex,state,outcomeId,type,winAmount,triggeredFeatureId,patternSource,winConditionType,generatedWinLine,anchorsCount,visualRequestedType,visualAppliedType,visualApplied,visualPaylinesChosen,visualAttemptsUsed,visualGuardFailReason,visualSeed,teaseEligible,teaseChanceUsed,teaseRoll,teaseBlockedBy,visualGuardFailDetail,visualAttemptReasons,expectedWinAmount,evaluatedWinAmount,evaluationMatch,evaluatedEventCount,evaluatedRuleTypes,eventsJson
1134,1034,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,1,,1085537840,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,
1135,1035,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,1,,1152544593,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,
1136,1036,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,2,,1219551346,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_1;SUCCESS,0,0,true,0,,
1137,1037,BASE,NEAR_MISS_1,LOSS,0,,NONE,,,0,NEAR_MISS,NEAR_MISS,true,2,2,,1294217137,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_0;SUCCESS,0,0,true,0,,
1138,1038,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,1,,1353564852,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,
1139,1039,BASE,NEAR_MISS_1,LOSS,0,,NONE,,,0,NEAR_MISS,NEAR_MISS,true,3|1,2,,1995817011,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_0;SUCCESS,0,0,true,0,,
1140,1040,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,4,,1400247125,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_0;ACCIDENTAL_WIN_PAYLINE_1;ACCIDENTAL_WIN_PAYLINE_4;SUCCESS,0,0,true,0,,
1141,1041,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,5,,1333240372,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_0;ACCIDENTAL_WIN_PAYLINE_0;ACCIDENTAL_WIN_PAYLINE_4;ACCIDENTAL_WIN_PAYLINE_3;SUCCESS,0,0,true,0,,
1142,1042,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,2,,1266233619,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_2;SUCCESS,0,0,true,0,,
1143,1043,BASE,SMALL_WIN,WIN,2,,GENERATED,LINE,3,3,NONE,NONE,false,,1,,2048391541,true,0.08,0.349490899592638,CHANCE_MISS,,SUCCESS,2,2,true,1,LINE,"[{""eventId"":""LINE_3_L1_3"",""ruleType"":""LINE"",""winAmount"":2,""paidSymbolId"":""L1"",""displaySymbolId"":""L1"",""positions"":[[0,0],[1,1],[2,2]],""matchCount"":3,""paylineIndex"":3,""metadata"":{}}]"
